Name(String),Dept(Integer),Salary(Integer),Tax(Integer)
Robinson,3,3623900,36240
White,1,1643100,16432
Brown,0,466000,4661
Miller,4,2056100,20562
Harris,0,3675700,36758
Taylor,4,1205800,12059
Jackson,3,1891700,18918
Taylor,3,1728900,17290
Brown,3,3981900,39820
Williams,2,103100,1032
Miller,3,368800,3689
Garcia,1,1507700,15078
Martinez,0,1533000,15331
Jackson,4,4097400,40975
White,0,1808300,18084
Robinson,1,4358200,43583
Robinson,1,2394600,23947
Martinez,4,777400,7775
Garcia,4,1573100,15732
Wilson,1,515300,5154
Jackson,4,690800,6909
White,1,2380800,23809
Brown,4,1857400,18575
Brown,1,3466800,34669
Williams,3,3201800,32019
Harris,4,1900200,19003
Johnson,4,287800,2879
Martinez,4,918800,9189
Martinez,4,992200,9923
Anderson,2,3594800,35949
Garcia,2,3430100,34302
Thomas,0,2438300,24384
Robinson,0,1591800,15919
Miller,4,2390400,23905
Martinez,4,418700,4188
Davis,0,1538000,15381
White,4,2623800,26239
Moore,1,1879400,18795
Wilson,2,2955200,29553
Garcia,2,757100,7572
Harris,3,3563000,35631
Taylor,0,3391900,33920
Brown,1,2576900,25770
White,1,2515300,25154
Taylor,3,2806100,28062
Brown,0,4139000,41391
Garcia,1,2214900,22150
Taylor,4,1237300,12374
Moore,4,617700,6178
Davis,0,4278600,42787
Wilson,0,3419700,34198
Martinez,0,2803000,28031
Jones,3,1658200,16583
Smith,0,664800,6649
Taylor,3,2973300,29734
White,2,2297400,22975
Thomas,1,1845800,18459
White,2,1165200,11653
Martin,3,4230700,42308
Anderson,4,3537800,35379
Harris,3,863100,8632
Williams,0,3633300,36334
Davis,3,4323600,43237
Johnson,1,4338100,43382
Jackson,3,57900,580
Thomas,4,3630900,36310
Anderson,3,4294600,42947
Brown,0,3580400,35805
Taylor,1,124200,1243
Moore,0,3700600,37007
Martinez,3,719900,7200
White,3,2427400,24275
Thomas,1,553500,5536
Smith,1,338600,3387
Smith,4,4029700,40298
White,1,320800,3209
White,2,117600,1177
Miller,1,3644700,36448
Robinson,0,3601200,36013
Martinez,0,2864500,28646
Jones,3,2189200,21893
Martinez,0,924100,9242
Jackson,1,4362000,43621
Jones,4,3503600,35037
Anderson,4,2228300,22284
Moore,4,1155300,11554
White,4,2876200,28763
Taylor,0,3036200,30363
Garcia,1,3103400,31035
Moore,2,153400,1535
Davis,2,79400,795
Thompson,2,1330800,13309
Taylor,4,3691100,36912
Wilson,1,4154700,41548
Wilson,0,3117800,31179
Harris,1,4295200,42953
Anderson,4,1338000,13381
Moore,2,1774000,17741
Williams,1,1458200,14583
Garcia,4,3543200,35433
Jones,3,2871400,28715
Moore,4,2317200,23173
Robinson,0,1859500,18596
Moore,4,2839100,28392
Anderson,1,3271300,32703
Jones,3,3214100,32142
Martin,3,1283200,12833
Wilson,4,854700,8548
Anderson,0,594800,5949
Anderson,1,3886300,38864
Anderson,2,4251400,42515
Moore,3,1073300,10734
Martin,2,4215500,42156
Williams,0,3391000,33911
Moore,1,1603600,16037
Martinez,3,3177700,31778
Martinez,2,917300,9174
Jackson,4,2117300,21174
Anderson,3,872800,8729
Jackson,2,382600,3827
Anderson,0,1314200,13143
Miller,4,3831800,38319
Robinson,0,2227800,22279
Miller,1,3089600,30897
Anderson,3,904800,9049
Martinez,3,2308500,23086
Garcia,4,3556000,35561
Anderson,1,1847300,18474
Jackson,0,1098000,10981
Moore,3,260000,2601
Jackson,2,3977200,39773
Moore,2,4337100,43372
Jones,3,2712400,27114
Thompson,1,1485200,14853
Garcia,0,1271300,12714
Thomas,3,1977300,19774
White,2,3989800,39899
Davis,3,2220900,22210
Jackson,0,2918300,29184
Jackson,3,4245200,42453
Williams,3,896400,8965
Williams,1,2303800,23039
Williams,1,2680300,26804
Robinson,2,460900,4610
Harris,3,45300,454
Garcia,1,2556500,25566
Brown,4,1775700,17758
Thompson,0,441800,4419
Wilson,0,2232500,22326
Thompson,3,1627400,16275
Jones,2,3398600,33987
Miller,3,3149800,31499
Robinson,0,1065200,10653
Harris,1,1145800,11459
Wilson,1,2975400,29755
Davis,3,90900,910
Garcia,0,2548100,25482
Davis,4,2106300,21064
Jones,2,2432400,24325
Miller,0,2726200,27263
Martin,0,324400,3245
Moore,2,2289800,22899
Jones,3,775900,7760
Anderson,0,3982200,39823
Thomas,3,44300,444
Martin,4,3030100,30302
Harris,4,1700000,17001
Brown,4,100400,1005
Robinson,2,438100,4382
Martinez,1,208200,2083
Taylor,3,657400,6575
Davis,1,1565000,15651
Thomas,3,147800,1479
Miller,3,536600,5367
Harris,1,2578400,25785
Taylor,0,3393400,33935
Thompson,4,1604000,16041
Johnson,4,954900,9539
Wilson,2,302000,3021
Garcia,0,404300,4044
Brown,3,3090600,30907
Anderson,4,2531600,25317
Smith,3,2984400,29845
Smith,2,565800,5648
Martin,4,1922800,19229
Smith,1,3990000,39901
Miller,1,1885900,18860
Thompson,1,3235000,32351
Williams,2,3944600,39447
Garcia,2,3986000,39861
Jackson,0,1645800,16459
Martinez,4,1584900,15850
Garcia,4,3530300,35304
Harris,0,2314700,23148
Thomas,3,2223700,22238
Johnson,1,1020800,10209
Harris,0,3293300,32934
Harris,2,3592600,35927
Johnson,0,1715300,17154
Smith,4,1598600,15987
Moore,4,987200,9873
Thompson,4,2452800,24529
Wilson,3,99100,992
Wilson,3,2318800,23189
Davis,4,3009000,30091
Jones,2,3753800,37539
Johnson,4,3571900,35720
Garcia,2,1364700,13648
Wilson,3,2068400,20685
Thompson,4,3542100,35422
Thompson,0,2082500,20826
Johnson,3,60900,610
Anderson,0,2668600,26687
Smith,2,3828200,38283
Anderson,0,3151700,31518
White,3,961100,9612
Anderson,3,2985200,29853
Smith,4,1781400,17815
Martinez,1,386300,3864
Garcia,1,3459100,34592
Thompson,3,3172900,31730
Brown,3,948000,9481
Martin,3,2620000,26201
Davis,2,352800,3529
White,2,2873500,28736
